"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1912906567235805691","Thu Apr 17 16:30:40 +0000 2025","0","Buat aku yang baca puluhan/ratusan berita setiap hari (karena emang begitu kerjaannya) tips supaya ga puyeng adalah membaca banyak kategori berita Tarif trump timnas u17 digilas korut sama kurikulum ganti ga lebih heboh kok dari berita meme brainrot ballerina cappucina.","1912906567235805691","","","in","Jakarta Capital Region","0","0","0","https://x.com/ridiria/status/1912906567235805691","521103021","ridiria"
"1912802599213875628","Thu Apr 17 16:28:25 +0000 2025","0","@Prikiti3uw @YKurniawandy @licesyasr Bagus kok Libero putri sekarang lebih2 bagus lagi cuman kadang pas pemanggilan timnas federasi ga berani ambil pemain yg lagi on fire yg diambil itu2 aja kaya mbak Yulis Dita azizah","1912905999842943316","","Prikiti3uw","in","","0","0","0","https://x.com/hiiccharuchu/status/1912905999842943316","2709213638","hiiccharuchu"
"1912873727689412729","Thu Apr 17 16:25:23 +0000 2025","0","@annisaHP @theaseanball Mungkin masalah budget atau ridho emang mau libur sebelum bela timnas","1912905236647387513","","annisaHP","in","Tangerang Selatan","0","0","0","https://x.com/Aldera_AM/status/1912905236647387513","284925300","Aldera_AM"
"1912904745041404092","Thu Apr 17 16:25:02 +0000 2025","0","5. Peran Kunci di Timnas Belgia Sejak debut pada 2010 De Bruyne telah mencatat lebih dari 100 penampilan untuk Belgia termasuk kontribusi penting dalam meraih peringkat ketiga di Piala Dunia 2018.","1912905151398158366","","arsyilasadiya","in","Jakarta Pusat, DKI Jakarta","0","1","0","https://x.com/arsyilasadiya/status/1912905151398158366","2329612471","arsyilasadiya"
"1912904310838755830","Thu Apr 17 16:23:23 +0000 2025","0","Belom lagi design jersey yang drastis beda. Nike cuma bisa pake Swoosh kebalik yang malahan aneh. Sementara Adidas selain design barunya yang oke dia rutin rilis Repro. CMIIW mungkin Nike cuma Repro jersey Timnas Brazil 2002? Sementara Adidas di musim ini aja udh banyak bgt","1912904734878429281","","_raihandsome","in","","0","0","0","https://x.com/_raihandsome/status/1912904734878429281","611431789","_raihandsome"
"1912876640918786323","Thu Apr 17 16:20:46 +0000 2025","0","@idextratime Lumayan mecah belah kedekatan timnas inggris","1912904078138703904","","idextratime","in","Pindahan Soul Society","0","0","0","https://x.com/napoleonboncabe/status/1912904078138703904","990440418","napoleonboncabe"
"1912903497324110047","Thu Apr 17 16:18:28 +0000 2025","0","Sakit banget jadi timnas Korea di tikung di menit akhir #AFCU17","1912903497324110047","","","in","Rain city","0","0","0","https://x.com/mybabydut/status/1912903497324110047","2351973293","mybabydut"
"1912827912346321133","Thu Apr 17 16:17:17 +0000 2025","0","@PKananku1927 @GalangTirta5 @MbahNdemin @erickthohir Tugas PSSI ngurus sepakbola lokal apa cuma Timnas doang? ","1912903201793475051","","PKananku1927","in","","0","0","0","https://x.com/Marcoooowin/status/1912903201793475051","1877725156791169024","Marcoooowin"
"1912902625210642492","Thu Apr 17 16:15:00 +0000 2025","0","Timnas Indonesia U-17 Lolos Semifinal Piala Asia U-17 2025 karena Korea Utara U-17 Kena Hukuman AFC? Begini Faktanya! https://t.co/QThAOXeerv","1912902625210642492","","","in","Jakarta","0","0","0","https://x.com/okezonenews/status/1912902625210642492","47274731","okezonenews"
"1908867751902339494","Thu Apr 17 16:14:03 +0000 2025","0","@CAEWONKlM aku suka timnas kakak","1912902387343429776","","CAEWONKlM","in","Saint Kitts and Nevis","0","0","0","https://x.com/jiwoocheoi/status/1912902387343429776","2496062568","jiwoocheoi"
"1912896027620688218","Thu Apr 17 16:12:36 +0000 2025","0","@moisaacedo gapapaaa km bergaul nya sm fans klub bola aja jgn sm fans player timnas biar gaketularan ngubek ngubek privasi pemain ","1912902022975910398","","moisaacedo","in","italy","0","1","0","https://x.com/chieysaa/status/1912902022975910398","1432065068955357184","chieysaa"
"1912901686869528709","Thu Apr 17 16:11:16 +0000 2025","0","Media Vietnam Kabarkan Indonesia Tuan Rumah ASEAN Cup U23 Kesempatan Timnas Indonesia U23 Menebus Kegagalan Tahun 2023 https://t.co/jkaBT96JpO","1912901686869528709","","","in","indonesia","0","0","0","https://x.com/suaramerdeka/status/1912901686869528709","219527452","suaramerdeka"
"1912872380013396424","Thu Apr 17 16:09:24 +0000 2025","0","@Dhaemonix @IndostransferFC Dion itu Versatile karena Lino sangat sulit untuk dibawa ke Timnas U-22. Kemungkinan dia bakal masuk Timnas U-22 di posisi gelandang CM-AM.","1912901217837285604","","Dhaemonix","in","","0","0","0","https://x.com/wunderkid_id/status/1912901217837285604","1795757743158239232","wunderkid_id"
"1912901184450637826","Thu Apr 17 16:09:17 +0000 2025","0","Saat aku ingin lihat Timnas latihan yang seumuran dengan menggunakan metode dan teknik informatika minimal selama yang slalu","1912901184450637826","","","in","","0","0","0","https://x.com/killa_aww/status/1912901184450637826","2856384517","killa_aww"
